C,CE,S,P,YieldStrength,Elongation,Process
0.41509434,0.641641641,0.057291667,0.674418605,0.967032967,0,2
0.452830189,0.677677677,0.244791667,1,1,0,2
0.471698113,0.555555556,0.057291667,0.744186047,0.846153846,0.1,2
0.547169811,0.627627628,0.057291667,0.837209302,0.945054945,0,2
0.402515723,0.629629629,0,0,0.846153846,0,3
0.477987421,0.541541541,0,0,0.747252747,0.1,3
0.48427673,0.567567568,0,0,0.769230769,0.1,3
0.490566038,0.713713713,0,0,0.923076923,0,3
0.503144654,0.665665665,0,0,0.824175824,0,3
0.522012579,0.583583583,0,0,0.802197802,0,3
0.547169811,0.607607607,0,0,0.846153846,0,3
0.540880503,0.721721721,0,0,0.89010989,0,3
0.591194969,0.649649649,0,0,0.868131868,0,3
0.65408805,0.709709709,0,0,0.703296703,0,4
0.716981132,0.749749749,0,0,0.681318681,0,4
0.716981132,0.769769769,0,0,0.714285714,0,4
0.779874214,0.829829829,0,0,0.725274725,0,4
0.716981132,0.769769769,0,0,0.747252747,0,4
0.465408805,0.536536536,0,0,0.736263736,0,4
0.842767296,0.902902902,0,0,0.769230769,0,4
0.842767296,0.912912913,0,0,0.802197802,0,4
1,1,0,0,0.824175824,0,4
0.402515723,0.492492492,0,0,0.758241758,0,4
0.842767296,0.924924925,0,0,0.824175824,0,4
0.402515723,0.509509509,0,0,0.791208791,0,4
